,1.6.2 run 1,1.6.2 run 2,1.6.2 run 3,1.6.2 avg,1.7 run 1,1.7 run 2,1.7 run 3,1.7 avg,1.7 % change
testConcurrentReadWriteRemove - avg get,0.025293218,0.019403826,0.021321282,0.0220061086666667,0.0070590177,0.0072132917,0.0070378995,0.00710340296666667,-0.666839781647901
testConcurrentReadWriteRemove - avg put,0.6141209,2.4778013,0.9633772,1.35176646666667,2.9757617,1.1072984,1.3358507,1.8063036,0.874970260869782
testConcurrentReadWriteRemove - avg remove,0.04148621,0.038471676,0.04158832,0.040515402,0.053605277,0.023355791,0.056508735,0.0444899343333333,0.0697699338019257
testConcurrentReadWriteRemove - avg remove all,0.023754217,0.02202583,0.016876081,0.020885376,0.024063589,0.015921254,0.027272075,0.0224189726666667,0.328446614274173
testConcurrentReadWriteRemove - avg keyset,0.0027187662,0.004299539,0.005870606,0.00429630373333333,0.0014837311,0.0025746112,0.0017082192,0.00192218716666667,-0.672574319130483
,,,,,,,,,
testConcurrentReadWriteRemove - avg get,0.020288484,0.020168183,0.01844793,0.0196348656666667,0.005463638,0.006097001,0.007185534,0.00624872433333333,-0.661277751306877
testConcurrentReadWriteRemove - avg put,9.886447,0.34560296,1.2881709,3.84007362,2.041194,1.8209686,1.770831,1.87766453333333,0.457620672329526
testConcurrentReadWriteRemove - avg remove,0.04180558,0.062877096,0.07787141,0.060851362,0.047628123,0.061318077,0.053044017,0.053996739,-0.306590968366953
testConcurrentReadWriteRemove - avg remove all,0.018375909,0.023464978,0.03488544,0.0255754423333333,0.029446928,0.023325603,0.016448343,0.0230736246666667,-0.338588687238381
testConcurrentReadWriteRemove - avg keyset,0.0020917326,0.009131894,0.0056796353,0.00563442063333333,8.97E-04,0.0011079109,0.0021493798,0.00138485901333333,-0.756171137725457
,,,,,,,,,
testConcurrentReadWriteRemove - avg get,0.02956324,0.019422026,0.01938859,0.0227912853333333,0.0064099864,0.0066033825,0.0063741114,0.00646249343333333,-0.666685744897729
testConcurrentReadWriteRemove - avg put,0.9970914,2.0347533,2.9734042,2.00174963333333,4.08588,1.163344,1.0480059,2.09907663333333,-0.294049348106346
testConcurrentReadWriteRemove - avg remove,0.07719192,0.05291597,0.042234465,0.0574474516666667,0.06965155,0.036110107,0.050125703,0.0519624533333333,0.230332936224794
testConcurrentReadWriteRemove - avg remove all,0.025962124,0.06977412,0.018513113,0.038083119,0.015351694,0.01244245,0.04154174,0.0231119613333333,0.248410320475724
testConcurrentReadWriteRemove - avg keyset,0.0030830228,0.005962641,0.0022465228,0.0037640622,0.001195243,8.37E-04,0.0015638644,0.00119882275333333,-0.466365196323256
,,,,,,,,,
testConcurrentReadPerformanceMemoryOnly- avg get,0.015228426,0.038735982,0.03058104,0.028181816,7.82E-06,0.0,0.0,0.00000260556433333333,-0.999914798046982
testConcurrentReadPerformanceMemoryOnly- avg get,0.005705253,0.0057163765,0.0056992513,0.00570696026666667,0.0023426372,1.57E-04,9.03E-05,0.000863199091333333,-0.848541668739307
testConcurrentReadPerformanceMemoryOnly- avg get,0.021469198,0.02811472,0.026847646,0.025477188,0.009500584,0.0058561405,0.0050486503,0.0068017916,-0.746652216734383
testConcurrentReadPerformanceMemoryOnly- avg get,0.033258416,0.045918114,0.02692277,0.0353664333333333,0.0030053002,0.009875671,0.04487023,0.0192504004,-0.284976976737535
testConcurrentReadPerformanceMemoryOnly- avg get,0.024496734,0.03488055,0.03788161,0.0324196313333333,0.0043186313,0.004895401,0.048863016,0.0193590161,-0.488960049480474